,,,일반성분 Proximates,,,,,,,,아미노산 Amino acids,,,지방산 Fatty acids,,,,,콜레,식염,폐기율,출처,,,,무기질 Minerals,,,,,,,,,,,,비타민 Vitamins,,,,,,,,,,,,,,출처
색인,식품코드,식품명,에너지,수분,단백질,지질,회분,"탄수
화물",총 당류,"총 
식이섬유",총 ,필수 ,비필수 ,총,총 필수,총 포화 ,"총 단일
불포화","총 다중
불포화",스테롤,상당량,,,색인,식품코드,식품명,칼슘,철,마그네슘,인,칼륨,나트륨,아연,구리,망간,셀레늄,몰리브덴,요오드,레티놀,베타카로틴,비타민 D,비타민 E,비타민 K1,비타민 B1,비타민 B2,니아신,판토텐산,비타민 B6,비오틴,"엽산
(DFE)",비타민 B12,비타민 C,
Index,Food Code,Food and Description,ENERC,WATER,PROCNP,FAT,ASH,CHOTDF,SUGAR,FIBTG,AAT19,AAE10A,AANE,FAFREF,FAESSF,FASATF,FAMSF,FAPUF,CHOLE,NACL,Ref,Source,Index,Food Code,Food and Description,CA,FE,MG,P,K,NA,ZN,CU,MN,SE,MO,ID,RETOL,CARTB,VITD,VITE,VITK1,THIA,RIBF,NIA,PANTAC,PYRXN,BIOT,FOL,VITB12,VITC,Source
,,,kcal,g,g,g,g,g,g,g,mg,mg,mg,g,g,g,g,g,mg,g,%,,,,,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,mg,μg,mg,mg,mg,mg,mg,μg,μg,μg,mg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336,H0380040000a,"배, 신고, 생것",46 ,87.0 ,0.30 ,0.04 ,0.31 ,12.35 ,4.70 ,1.4 ,260 ,48 ,212 ,0.03 ,0.02 ,0.01 ,0 ,0.02 ,0 ,0 ,17 ,농진청('14),1336,H0380040000a,"배, 신고, 생것",1 ,0.05 ,6 ,12 ,128 ,0 ,0.05 ,0.045 ,0.026 ,0 ,0.20 ,0 ,0 ,0 ,0 ,0.01 ,0 ,0.016 ,0.049 ,0.147,0 ,0 ,0 ,0 ,0 ,2.76 ,농진청('14)
,,"Pear, Singo, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Pear, Singo, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,H0380070000a,"배, 장심랑, 생것",35 ,90.4 ,0.4 ,0.3 ,0.4 ,8.6 ,-,-,-,-,-,-,-,-,-,-,-,0 ,22 ,국('87),1337,H0380070000a,"배, 장심랑, 생것",5 ,0.3 ,-,12 ,111 ,4 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.02 ,0.01 ,0.3,-,-,-,-,-,4 ,국('87)
,,"Pear, Jangsimrang, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Pear, Jangsimrang, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1338,H0380080000a,"배, 중국산, 생것",47 ,86.8 ,0.2 ,0.1 ,0.2 ,12.7 ,-,1.4 ,168 ,-,-,(0.05),-,(0.01),(0.02),(0.02),(0),0,15 ,JAPAN('15),1338,H0380080000a,"배, 중국산, 생것",2 ,0.1 ,5 ,8 ,140 ,1 ,Tr,0.05 ,0.03 ,-,-,-,0,-,(0),0.2 ,(0),0.02 ,0.01 ,0.2,0.14 ,0.02 ,-,6 ,(0),6 ,JAPAN('15)
,,"Pear, Raw, China",,,,,,,,,,,,,,,,,,,,,,,"Pear, Raw, China",,,,,,,,,,,,,,,,,,,,,,,,,,,
1339,H0380090000a,"배, 만풍, 생것",44 ,87.3 ,0.26 ,0.04 ,0.39 ,12.01 ,9.85 ,1.2 ,255 ,52 ,203 ,0.03 ,0.02 ,0.01 ,0 ,0.02 ,0 ,0 ,15 ,농진청('14),1339,H0380090000a,"배, 만풍, 생것",1 ,0.07 ,5 ,11 ,107 ,0 ,0.04 ,0.057 ,0.026 ,0 ,0 ,0 ,0 ,0 ,0 ,0.04 ,0 ,0.015 ,0.068 ,0.137,0.624 ,0 ,0 ,0 ,0 ,3.02 ,농진청('14)
,,"Pear, Manpung, Raw",,,,,,,,,,,,,,,,,,,,,,,"Pear, Manpung, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,H0380100000a,"배, 원황, 생것",46 ,86.5 ,0.29 ,0.04 ,0.88 ,12.29 ,5.23 ,0.9 ,293 ,66 ,227 ,0.03 ,0.02 ,0.01 ,0 ,0.02 ,0 ,0 ,13 ,농진청('14),1340,H0380100000a,"배, 원황, 생것",2 ,0.07 ,6 ,14 ,138 ,0 ,0.06 ,0.041 ,0.021 ,0 ,0 ,0 ,0 ,0 ,0 ,0.02 ,0 ,0.036 ,0.072 ,0.133,0.101 ,0 ,0 ,0 ,0 ,2.16 ,농진청('14)
,,"Pear, Wonwhang, Raw",,,,,,,,,,,,,,,,,,,,,,,"Pear, Wonwhang, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,H0390000009a,배즙,52 ,85.9 ,0.3 ,0.5 ,0.3 ,13.0 ,-,-,-,-,-,-,-,-,-,-,-,0.1 ,0 ,농진청('96),1341,H0390000009a,배즙,6 ,0.9 ,-,22 ,82 ,35 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.06 ,0.03 ,0.3,-,-,-,-,-,0 ,농진청('96)
,,"Pear, Fruit juice ",,,,,,,,,,,,,,,,,,,,,,,"Pear, Fruit juice ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,H1070000619a,배 주스,42 ,88.2 ,0 ,0 ,0.04 ,11.76 ,10.15 ,1.0 ,3 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('16),1342,H1070000619a,배 주스,0 ,0 ,0 ,1 ,13 ,0 ,0 ,0 ,0.008 ,0 ,0.02 ,0.14 ,0 ,0 ,0 ,0.03 ,0 ,0 ,0.004 ,0 ,0 ,0 ,0 ,0 ,0 ,15.01 ,농진청('16)
,,Pear juice,,,,,,,,,,,,,,,,,,,,,,,Pear juice,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343,H0410000000a,"버찌, 생것",60 ,82.6 ,1.7 ,0.1 ,0.7 ,14.9 ,-,-,-,-,-,-,-,-,-,-,-,0 ,28 ,농진청('10),1343,H0410000000a,"버찌, 생것",22 ,1.0 ,-,49 ,350 ,1 ,-,-,-,-,-,-,0 ,22 ,-,-,-,0.09 ,0.09 ,0.6,-,-,-,-,-,10 ,농진청('10)
,,"Cherry, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Cherry, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,H041000000Ra,"버찌, 통조림",74 ,81.5 ,0.6 ,0.1 ,0.2 ,17.6 ,13.4 ,1.0,-,-,-,(0.07),-,(0.02),(0.02),(0.03),(0),0,15 ,JAPAN('15),1344,H041000000Ra,"버찌, 통조림",10 ,0.4 ,5 ,12 ,100 ,3 ,0.5 ,0.06 ,0.08 ,-,-,-,(0),41 ,(0),0.5 ,(0),0.01 ,0.01 ,0.1,0,0.01 ,-,12 ,(0),7 ,JAPAN('15)
,,"Cherry, Canned ",,,,,,,,,,,,,,,,,,,,,,,"Cherry, Canned ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1345,H0410010000a,"버찌, 미국산, 생것",66 ,81.1 ,1.2 ,0.1 ,0.5 ,17.1 ,13.6 ,1.4 ,1124 ,-,-,(0.07),-,(0.02),(0.02),(0.03),(0),0,9 ,JAPAN('15),1345,H0410010000a,"버찌, 미국산, 생것",15 ,0.3 ,12 ,23 ,260 ,1 ,0.1 ,0.08 ,0.11 ,-,-,-,(0),20 ,(0),0.5 ,(0),0.03 ,0.03 ,0.2,0.29 ,0.02 ,-,42 ,(0),9 ,JAPAN('15)
,,"Cherry, Raw, USA",,,,,,,,,,,,,,,,,,,,,,,"Cherry, Raw, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,
1346,H0410020000a,"버찌, 일본산, 생것",60 ,83.1 ,1.0,0.2 ,0.5 ,15.2 ,-,1.2 ,945 ,-,-,(0.14),-,(0.04),(0.05),(0.05),(0),0,10 ,JAPAN('15),1346,H0410020000a,"버찌, 일본산, 생것",13 ,0.3 ,6 ,17 ,210 ,1 ,0.1 ,0.05 ,-,0,1 ,0,(0),81 ,(0),0.5 ,(0),0.03 ,0.03 ,0.2,0.24 ,0.02 ,0.7 ,38 ,(0),10 ,JAPAN('15)
,,"Cherry, Raw, Japan",,,,,,,,,,,,,,,,,,,,,,,"Cherry, Raw, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,
1347,H0420000000a,"복분자, 생것",60 ,84.6 ,1.4 ,1.3 ,0.5 ,12.2 ,-,8.3 ,-,-,-,-,-,-,-,-,-,0 ,0 ,농진청('10),1347,H0420000000a,"복분자, 생것",90 ,0.2 ,-,36 ,192 ,1 ,-,-,-,-,-,-,0 ,11 ,-,-,-,0.10 ,0.07 ,0.6,-,-,-,-,-,tr,농진청('10)
,,"Korean bramble(Rubus coreanus), Raw ",,,,,,,,,,,,,,,,,,,,,,,"Korean bramble(Rubus coreanus), Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1348,H043000000Ha,"복숭아, 당절임",311 ,21.5 ,2.6 ,0.1 ,0.8 ,75.0 ,-,-,-,-,-,-,-,-,-,-,-,0.1 ,0 ,농진청('96),1348,H043000000Ha,"복숭아, 당절임",5 ,1.2 ,-,60 ,1238 ,51 ,-,-,-,-,-,-,0 ,-,-,-,-,0.06 ,0.14 ,0.5,-,-,-,-,-,0 ,농진청('96)
,,"Peach, Preserved with sugar",,,,,,,,,,,,,,,,,,,,,,,"Peach, Preserved with sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
1349,H0430000580a,"복숭아, 미숙, 생것",48 ,87.0 ,1.8 ,0.7 ,0.5 ,10.0 ,-,-,-,-,-,-,-,-,-,-,-,0 ,-,농진청('02),1349,H0430000580a,"복숭아, 미숙, 생것",8 ,0.6 ,-,42 ,217 ,3 ,-,-,-,-,-,-,-,tr,-,-,-,0.08 ,0.23 ,1.2,-,-,-,-,-,9 ,농진청('02)
,,"Peach, Immature, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Peach, Immature, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,H0430020000a,"복숭아, 백도, 생것",49 ,85.8 ,0.59 ,0.04 ,0.47 ,13.10 ,9.45 ,2.6 ,478 ,96 ,382 ,0.04 ,0.02 ,0.02 ,0 ,0.02 ,0 ,0 ,19 ,농진청('15),1350,H0430020000a,"복숭아, 백도, 생것",4 ,0.11 ,7 ,24 ,216 ,0 ,0.09 ,0.079 ,0.033 ,0 ,2.12 ,0 ,0 ,3 ,0 ,0.41 ,0 ,0.022 ,0.023 ,0.290,0.094 ,0.005 ,0.37 ,0 ,0 ,2.10 ,농진청('15)
,,"Peach, White, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Peach, White, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,H043002251Ra,"복숭아, 백도, 고형물, 통조림",68 ,82.9 ,0.38 ,0.05 ,0.16 ,16.51 ,14.77 ,3.1 ,271 ,89 ,182 ,0.05 ,0.03 ,0.02 ,0 ,0.03 ,0 ,0 ,0 ,농진청('15),1351,H043002251Ra,"복숭아, 백도, 고형물, 통조림",9 ,0.11 ,5 ,7 ,54 ,2 ,0.31 ,0.016 ,0.015 ,0.54 ,0.02 ,0 ,0 ,8 ,0 ,0.46 ,0 ,0 ,0.011 ,0.280,0.037 ,0 ,0 ,3 ,0 ,0.95 ,농진청('15)
,,"Peach, White, Solids, Canned",,,,,,,,,,,,,,,,,,,,,,,"Peach, White, Solids, Canned",,,,,,,,,,,,,,,,,,,,,,,,,,,
1352,H043002252Ra,"복숭아, 백도, 액즙, 통조림",63 ,84.1 ,0.19 ,0 ,0.12 ,15.59 ,13.70 ,1.3 ,93 ,8 ,85 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('15),1352,H043002252Ra,"복숭아, 백도, 액즙, 통조림",6 ,0.06 ,4 ,4 ,47 ,3 ,0.15 ,0.005 ,0.010 ,0.24 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.010 ,0.010 ,0.297,0 ,0 ,0 ,0 ,0 ,1.02 ,농진청('15)
,,"Peach, White, Liquids, Canned",,,,,,,,,,,,,,,,,,,,,,,"Peach, White, Liquids, Canned",,,,,,,,,,,,,,,,,,,,,,,,,,,
1353,H043003000Ra,"복숭아, 백도, 통조림",80 ,80.0 ,0.2 ,0.1 ,0.2 ,19.5 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,식약('96),1353,H043003000Ra,"복숭아, 백도, 통조림",5 ,0.3 ,-,9 ,84 ,5 ,-,-,-,-,-,-,0 ,0 ,-,-,-,0.02 ,0.01 ,0.3,-,-,-,-,-,0 ,식약('96)
,,"Peach, White, Canned",,,,,,,,,,,,,,,,,,,,,,,"Peach, White, Canned",,,,,,,,,,,,,,,,,,,,,,,,,,,
1354,H0430070000a,"복숭아, 천도, 생것",32 ,90.7 ,0.93 ,0.05 ,0.47 ,7.85 ,4.67 ,3.8 ,746 ,149 ,597 ,0.05 ,0.02 ,0.02 ,0.01 ,0.02 ,0 ,0 ,7 ,농진청('15),1354,H0430070000a,"복숭아, 천도, 생것",6 ,0.19 ,10 ,21 ,231 ,0 ,0.21 ,0.023 ,0.050 ,0 ,1.99 ,0 ,0 ,94 ,0 ,0.99 ,0 ,0.028 ,0.018 ,0.215,0.172 ,0 ,0.58 ,21 ,0 ,1.69 ,농진청('15)
,,"Peach, Nectarine, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Peach, Nectarine, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1355,H0430080000a,"복숭아, 황도, 생것",49 ,86.1 ,0.40 ,0.04 ,0.43 ,13.03 ,9.29 ,4.3 ,402 ,94 ,308 ,0.04 ,0.02 ,0.02 ,0 ,0.02 ,0 ,0 ,16 ,농진청('15),1355,H0430080000a,"복숭아, 황도, 생것",5 ,0.09 ,6 ,20 ,188 ,2 ,0.06 ,0.035 ,0.020 ,0 ,1.10 ,0 ,0 ,105 ,0 ,0.54 ,0 ,0.018 ,0.022 ,0.233,0.137 ,0.004 ,0.44 ,0 ,0 ,1.67 ,농진청('15)
,,"Peach, Yellow, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Peach, Yellow, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1356,H043008000Ra,"복숭아, 황도, 통조림",67 ,83.1 ,0.3 ,0.1 ,0.2 ,16.3 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,식약('96),1356,H043008000Ra,"복숭아, 황도, 통조림",4 ,0.2 ,-,8 ,75 ,5 ,-,-,-,-,-,-,0 ,101 ,-,-,-,0.02 ,0.01 ,0.4,-,-,-,-,-,0 ,식약('96)
,,"Peach, Yellow, Canned",,,,,,,,,,,,,,,,,,,,,,,"Peach, Yellow, Canned",,,,,,,,,,,,,,,,,,,,,,,,,,,
1357,H043008251Ra,"복숭아, 황도, 고형물, 통조림",83 ,79.1 ,0.44 ,0.05 ,0.12 ,20.29 ,18.50 ,3.8 ,353 ,133 ,220 ,0.05 ,0.03 ,0.02 ,0 ,0.03 ,0 ,0 ,0 ,농진청('15),1357,H043008251Ra,"복숭아, 황도, 고형물, 통조림",6 ,0.14 ,3 ,7 ,49 ,3 ,0.45 ,0.042 ,0.029 ,0.37 ,0 ,0 ,0 ,72 ,0 ,1.28 ,0 ,0.085 ,0.018 ,0.510,0.028 ,0 ,0 ,8 ,0 ,10.83 ,농진청('15)
,,"Peach, Yellow, Solids, Canned",,,,,,,,,,,,,,,,,,,,,,,"Peach, Yellow, Solids, Canned",,,,,,,,,,,,,,,,,,,,,,,,,,,
1358,H043008252Ra,"복숭아, 황도, 액즙, 통조림",79 ,80.0 ,0.19 ,0 ,0.19 ,19.62 ,19.09 ,1.4 ,109 ,6 ,103 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,농진청('15),1358,H043008252Ra,"복숭아, 황도, 액즙, 통조림",5 ,0.07 ,3 ,4 ,46 ,2 ,0.15 ,0.017 ,0.026 ,0.29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.016 ,0.138,0 ,0 ,0 ,0 ,0 ,10.77 ,농진청('15)
,,"Peach, Yellow, Liquids, Canned",,,,,,,,,,,,,,,,,,,,,,,"Peach, Yellow, Liquids, Canned",,,,,,,,,,,,,,,,,,,,,,,,,,,
1359,H0430090000a,"복숭아, 천중도, 생것",49 ,86.8 ,0.74 ,0.79 ,0.49 ,11.18 ,10.21 ,-,661 ,131 ,530 ,0.03 ,0.02 ,0.01 ,0 ,0.02 ,0 ,0 ,18 ,농진청('16),1359,H0430090000a,"복숭아, 천중도, 생것",1 ,0.19 ,4 ,21 ,238 ,0 ,0.11 ,0.091 ,0 ,0 ,1.47 ,0 ,0 ,0 ,-,0.13 ,25.04 ,0.700 ,0.205 ,-,0 ,0 ,1.12 ,1 ,0 ,4.66 ,농진청('16)
,,"Peach, CheonJungdo, Raw",,,,,,,,,,,,,,,,,,,,,,,"Peach, CheonJungdo, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
1360,H0440000009a,"복숭아, 넥타",54 ,86.5 ,0.29 ,0.03 ,0.16 ,13.02 ,9.92 ,2.4 ,237 ,53 ,184 ,0.02 ,0.01 ,0.01 ,0 ,0.01 ,0 ,0 ,0 ,농진청('15),1360,H0440000009a,"복숭아, 넥타",9 ,0.15 ,5 ,7 ,77 ,4 ,0.08 ,0.018 ,0.024 ,0.33 ,0.82 ,0 ,0 ,81 ,0 ,0.44 ,0 ,0.016 ,0.016 ,0.072,0.185 ,0.006 ,0 ,0 ,0 ,15.45 ,농진청('15)
,,"Peach, Nectar ",,,,,,,,,,,,,,,,,,,,,,,"Peach, Nectar ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1361,H0450000009a,"복숭아, 잼",211 ,47.0 ,0.66 ,0.03 ,0.33 ,51.98 ,43.37 ,9.9 ,459 ,111 ,348 ,0.02 ,0.01 ,0.01 ,0 ,0.01 ,0 ,0 ,0 ,농진청('15),1361,H0450000009a,"복숭아, 잼",8 ,0.14 ,6 ,16 ,155 ,8 ,0.13 ,0.004 ,0.060 ,0.26 ,0.50 ,0 ,0 ,183 ,0 ,0.88 ,0 ,0 ,0.056 ,0.470,0.068 ,0.009 ,0 ,7 ,0 ,0 ,농진청('15)
,,"Peach, Jam ",,,,,,,,,,,,,,,,,,,,,,,"Peach, Jam ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1362,H0460000000a,"블랙베리, 생것",43 ,89.2 ,0.67 ,1.13 ,0.31 ,8.69 ,5.76 ,7.0 ,787 ,325 ,462 ,0.41 ,0.31 ,0.05 ,0.05 ,0.31 ,0 ,0 ,0 ,농진청('16),1362,H0460000000a,"블랙베리, 생것",21 ,0.47 ,17 ,19 ,139 ,0 ,0.21 ,0.169 ,0.705 ,0 ,3.68 ,0 ,0 ,100 ,-,0.31 ,38.32 ,0.255 ,0.008 ,0.130 ,0 ,0 ,5.27 ,11 ,0 ,5.23 ,농진청('16)
,,"Blackberries(Rubus fruticosus L.), Raw ",,,,,,,,,,,,,,,,,,,,,,,"Blackberries(Rubus fruticosus L.), Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1363,H1180000000a,"블랙커런트, 생것",63 ,81.96 ,1.40 ,0.41 ,0.86 ,15.38 ,-,-,-,-,-,0.271 ,-,0.034 ,0.058 ,0.179 ,0 ,0 ,2 ,USDA('15),1363,H1180000000a,"블랙커런트, 생것",55 ,1.54 ,24 ,59 ,322 ,2 ,0.27 ,0.086 ,0.256 ,-,-,-,0 ,-,-,1.00 ,-,0.050 ,0.050 ,0.300,0.398 ,0.066 ,-,-,0 ,181.0 ,USDA('15)
,,"Currants, european black, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Currants, european black, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1364,H0470000000a,"블루베리, 생것",48 ,86.6 ,0.55 ,0.09 ,0.19 ,12.57 ,5.54 ,3.0 ,502 ,261 ,241 ,0.08 ,0.05 ,0.02 ,0.01 ,0.05 ,0 ,0 ,0 ,농진청('13),1364,H0470000000a,"블루베리, 생것",9 ,0.23 ,6 ,12 ,70 ,0 ,0.08 ,0.033 ,0.507 ,0.82 ,0.63 ,1.61 ,0 ,26 ,0 ,1.16 ,25.90 ,0.017 ,0.131 ,0.317,0 ,0.015 ,3.36 ,16 ,0 ,-,농진청('13)
,,"Blueberries, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Blueberries, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1365,H0470000001a,"블루베리, 말린것",325 ,9.5 ,4.45 ,1.11 ,1.37 ,83.57 ,49.63 ,18.8 ,3222 ,1619 ,1603 ,1.07 ,0.70 ,0.19 ,0.16 ,0.70 ,0 ,0 ,0 ,농진청('16),1365,H0470000001a,"블루베리, 말린것",35 ,3.04 ,34 ,98 ,585 ,3 ,0.96 ,0.174 ,3.318 ,2.02 ,6.95 ,7.20 ,0 ,138 ,0 ,5.23 ,43.89 ,0.193 ,0.309 ,1.716 ,0 ,0.035 ,0 ,24 ,0 ,0.33 ,농진청('16)
,,"Blueberries, Dried",,,,,,,,,,,,,,,,,,,,,,,"Blueberries, Dried",,,,,,,,,,,,,,,,,,,,,,,,,,,
1366,H0470000007a,"블루베리, 냉동",41 ,88.7 ,0.81 ,0.26 ,0.16 ,10.07 ,6.64 ,2.7 ,354 ,176 ,178 ,0.25 ,0.19 ,0.02 ,0.04 ,0.19 ,0 ,0 ,0 ,농진청('15),1366,H0470000007a,"블루베리, 냉동",7 ,0.28 ,5 ,11 ,75 ,6 ,0.08 ,0.015 ,0.324 ,0.66 ,2.21 ,5.98 ,0 ,48 ,0 ,0.82 ,0 ,0.051 ,0.039 ,0.776,0.144 ,0.006 ,0 ,6 ,0 ,3.83 ,농진청('15)
,,"Blueberries, Frozen ",,,,,,,,,,,,,,,,,,,,,,,"Blueberries, Frozen ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1367,H047000000Ra,"블루베리, 통조림",88 ,76.78 ,0.65 ,0.33 ,0.17 ,22.06 ,20.46 ,1.6 ,441 ,-,-,0.218 ,-,0.027 ,0.047 ,0.144 ,0 ,0 ,-,USDA('15),1367,H047000000Ra,"블루베리, 통조림",5 ,0.33 ,4 ,10 ,40 ,3 ,0.07 ,0.053 ,0.203 ,0.1 ,-,-,0 ,22 ,0 ,0.38 ,6.4 ,0.034 ,0.053 ,0.113,0.089 ,0.036 ,-,2 ,0 ,1.1 ,USDA('15)
,,"Blueberries, Canned, Heavy syrup",,,,,,,,,,,,,,,,,,,,,,,"Blueberries, Canned, Heavy syrup",,,,,,,,,,,,,,,,,,,,,,,,,,,
1368,H0480000009a,"블루베리, 잼",283 ,29.4 ,0.21 ,0.11 ,0.06 ,70.22 ,44.44 ,2.9 ,140 ,71 ,69 ,0.10 ,0.07 ,0.03 ,0 ,0.07 ,0 ,0 ,0 ,농진청('15),1368,H0480000009a,"블루베리, 잼",7 ,0.07 ,2 ,4 ,23 ,13 ,0.04 ,0.006 ,0.910 ,0.35 ,0.24 ,0 ,0 ,2 ,0 ,0.12 ,0 ,0.045 ,0.055 ,0.357,-,0.009 ,0 ,10 ,0 ,0 ,농진청('15)
,,"Blueberries, Jam ",,,,,,,,,,,,,,,,,,,,,,,"Blueberries, Jam ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1369,H0490000000a,"비파, 생것",45 ,87.2 ,0.29 ,-,0.36 ,12.15 ,10.80 ,-,376 ,167 ,209 ,0.05 ,0.02 ,0.02 ,0.01 ,0.02 ,0 ,0 ,27 ,농진청('16),1369,H0490000000a,"비파, 생것",15 ,0.05 ,7 ,6 ,167 ,0 ,0.12 ,0.023 ,0.040 ,0 ,0.71 ,4.96 ,0 ,129 ,-,0 ,0 ,0.204 ,0.008 ,0.242 ,0.237 ,0.020 ,0 ,4 ,0 ,7.49 ,농진청('16)
,,"Loquat(Eriobotrya japonica (Thunb.) Lindl.), Raw ",,,,,,,,,,,,,,,,,,,,,,,"Loquat(Eriobotrya japonica (Thunb.) Lindl.), Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1370,H049000000Ra,"비파, 통조림",81 ,79.6 ,0.3 ,0.1 ,0.2 ,19.8 ,-,0.6 ,-,-,-,(0.07),-,(0.02),(Tr),(0.05),(0),0,0 ,JAPAN('15),1370,H049000000Ra,"비파, 통조림",22 ,0.1 ,5 ,3 ,60 ,2 ,0.1 ,0.17 ,0.10,-,-,-,(0),320 ,(0),0.2 ,(0),0.01 ,0.01 ,0.2,0,0.02 ,-,9 ,(0),Tr,JAPAN('15)
,,"Loquat(Eriobotrya japonica (Thunb.) Lindl.), Canned ",,,,,,,,,,,,,,,,,,,,,,,"Loquat(Eriobotrya japonica (Thunb.) Lindl.), Canned ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1371,H0500000001a,"사과, 말린것",275 ,24.0 ,1.0 ,1.6 ,1.6 ,71.8 ,-,-,-,-,-,-,-,-,-,-,-,-,0 ,보전('74),1371,H0500000001a,"사과, 말린것",31 ,1.6 ,-,52 ,-,-,-,-,-,-,-,-,-,-,-,-,-,0.06 ,0.12 ,0.5,-,-,-,-,-,10 ,보전('74)
,,"Apple, Dried ",,,,,,,,,,,,,,,,,,,,,,,"Apple, Dried ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1372,H050000000Ra,"사과, 통조림",66 ,83.7 ,0.7 ,0.3 ,0.2 ,15.1 ,-,-,-,-,-,-,-,-,-,-,-,0 ,0 ,국('77),1372,H050000000Ra,"사과, 통조림",4 ,0.7 ,-,3 ,50 ,3 ,-,-,-,-,-,-,-,-,-,-,-,0.02 ,0.02 ,0.1,-,-,-,-,-,2 ,국('77)
,,"Apple, Canned",,,,,,,,,,,,,,,,,,,,,,,"Apple, Canned",,,,,,,,,,,,,,,,,,,,,,,,,,,
1373,H0500020000a,"사과, 부사(후지), 생것",53 ,85.2 ,0.20 ,0.03 ,0.21 ,14.36 ,11.14 ,2.7 ,189 ,53 ,136 ,0.03 ,0.02 ,0.01 ,0 ,0.02 ,0 ,0 ,12 ,농진청('16),1373,H0500020000a,"사과, 부사(후지), 생것",4 ,0.10 ,3 ,11 ,107 ,0 ,0.05 ,0.009 ,0.035 ,0.18 ,4.36 ,0 ,0 ,25 ,0 ,0 ,0 ,-,0.019 ,0.388 ,0 ,0.020 ,0 ,3 ,0 ,1.41 ,농진청('16)
,,"Apple, Fuji, Raw ",,,,,,,,,,,,,,,,,,,,,,,"Apple, Fuji, Raw ",,,,,,,,,,,,,,,,,,,,,,,,,,,
1374,H050003B020a,"사과, 아오리, 껍질제거, 생것",52 ,85.2 ,0.27 ,0.04 ,0.33 ,14.16 ,8.85 ,2.0 ,235 ,51 ,184 ,0.03 ,0.02 ,0.01 ,0 ,0.02 ,0 ,0 ,13 ,농진청('13),1374,H050003B020a,"사과, 아오리, 껍질제거, 생것",2 ,0.12 ,4 ,9 ,108 ,0 ,0.03 ,0.034 ,0.047 ,0.55 ,0.56 ,0 ,0 ,10 ,0 ,0.06 ,0 ,0.033 ,0.032 ,0.095,0 ,0.015 ,0 ,10 ,0 ,-,농진청('13)
,,"Apple, Aorie, Without skin, Raw",,,,,,,,,,,,,,,,,,,,,,,"Apple, Aorie, Without skin, Raw",,,,,,,,,,,,,,,,,,,,,,,,,,,
